,,District,Commodity,Price (Rs/Quintal),Unit,Season
,,Dhanbad,Mustard,5991.6,Rs/Quintal,Rabi
,,Dhanbad,Onion,2242.31,Rs/Quintal,Rabi
,,Dhanbad,Potato,1776.47,Rs/Quintal,Rabi
,,Dhanbad,Rice (Paddy),1986.07,Rs/Quintal,Rabi
,,Dhanbad,Sugarcane,311.39,Rs/Quintal,Rabi
,,Dhanbad,Tomato,2389.5,Rs/Quintal,Rabi
,,Dhanbad,Wheat,2095.81,Rs/Quintal,Rabi
,,Dumka,Arhar (Tur),5950.62,Rs/Quintal,Rabi
,,Dumka,Gram (Chana),5167.83,Rs/Quintal,Rabi
,,Dumka,Maize,1582.1,Rs/Quintal,Rabi
,,Dumka,Mustard,5400,Rs/Quintal,Rabi
,,Dumka,Onion,1983.86,Rs/Quintal,Rabi
,,Dumka,Potato,1676.5,Rs/Quintal,Rabi
,,Dumka,Rice (Paddy),1782.49,Rs/Quintal,Rabi
,,Dumka,Sugarcane,282.62,Rs/Quintal,Rabi
,,Dumka,Tomato,2117.5,Rs/Quintal,Rabi
,,Dumka,Wheat,1858.88,Rs/Quintal,Rabi
,,East Singhbhum,Arhar (Tur),6295.49,Rs/Quintal,Rabi
,,East Singhbhum,Gram (Chana),5483.34,Rs/Quintal,Rabi
,,East Singhbhum,Maize,1710.04,Rs/Quintal,Rabi
,,East Singhbhum,Mustard,5858.18,Rs/Quintal,Rabi
,,East Singhbhum,Onion,2138.66,Rs/Quintal,Rabi
,,East Singhbhum,Potato,1736.02,Rs/Quintal,Rabi
,,East Singhbhum,Rice (Paddy),1898.28,Rs/Quintal,Rabi
,,East Singhbhum,Sugarcane,294.68,Rs/Quintal,Rabi
,,East Singhbhum,Tomato,2258.01,Rs/Quintal,Rabi
,,East Singhbhum,Wheat,1963.04,Rs/Quintal,Rabi
,,Garhwa,Arhar (Tur),6386.67,Rs/Quintal,Rabi
,,Garhwa,Gram (Chana),5420.53,Rs/Quintal,Rabi
,,Garhwa,Maize,1665.54,Rs/Quintal,Rabi
,,Garhwa,Mustard,5851.38,Rs/Quintal,Rabi
,,Garhwa,Onion,2065.4,Rs/Quintal,Rabi
,,Garhwa,Potato,1760.58,Rs/Quintal,Rabi
,,Garhwa,Rice (Paddy),1906.75,Rs/Quintal,Rabi
,,Garhwa,Sugarcane,289.79,Rs/Quintal,Rabi
,,Garhwa,Tomato,2288.88,Rs/Quintal,Rabi
,,Garhwa,Wheat,2019.92,Rs/Quintal,Rabi
,,Giridih,Arhar (Tur),6269.88,Rs/Quintal,Rabi
,,Giridih,Gram (Chana),5417.8,Rs/Quintal,Rabi
,,Giridih,Maize,1680.73,Rs/Quintal,Rabi
,,Giridih,Mustard,5840.56,Rs/Quintal,Rabi
,,Giridih,Onion,2129.9,Rs/Quintal,Rabi
,,Giridih,Potato,1758.52,Rs/Quintal,Rabi
,,Giridih,Rice (Paddy),1874.6,Rs/Quintal,Rabi
,,Giridih,Sugarcane,293.42,Rs/Quintal,Rabi
,,Giridih,Tomato,2309.06,Rs/Quintal,Rabi
,,Giridih,Wheat,1979.82,Rs/Quintal,Rabi
,,Godda,Arhar (Tur),6299.65,Rs/Quintal,Rabi
,,Godda,Gram (Chana),5383.71,Rs/Quintal,Rabi
,,Godda,Maize,1667.92,Rs/Quintal,Rabi
,,Godda,Mustard,5822.49,Rs/Quintal,Rabi
,,Godda,Onion,2120.66,Rs/Quintal,Rabi
,,Godda,Potato,1704.01,Rs/Quintal,Rabi
,,Godda,Rice (Paddy),1874.88,Rs/Quintal,Rabi
,,Godda,Sugarcane,290.95,Rs/Quintal,Rabi
,,Godda,Tomato,2371.17,Rs/Quintal,Rabi
,,Godda,Wheat,2004.23,Rs/Quintal,Rabi
,,Gumla,Arhar (Tur),6339.7,Rs/Quintal,Rabi
,,Gumla,Gram (Chana),5429.53,Rs/Quintal,Rabi
,,Gumla,Maize,1685.79,Rs/Quintal,Rabi
,,Gumla,Mustard,5772.53,Rs/Quintal,Rabi
,,Gumla,Onion,2062.51,Rs/Quintal,Rabi
,,Gumla,Potato,1749.51,Rs/Quintal,Rabi
,,Gumla,Rice (Paddy),1865.67,Rs/Quintal,Rabi
,,Gumla,Sugarcane,297.44,Rs/Quintal,Rabi
,,Gumla,Tomato,2314.22,Rs/Quintal,Rabi
,,Gumla,Wheat,2007.53,Rs/Quintal,Rabi
,,Hazaribagh,Arhar (Tur),6218.65,Rs/Quintal,Rabi
,,Hazaribagh,Gram (Chana),5469.02,Rs/Quintal,Rabi
,,Hazaribagh,Maize,1655.68,Rs/Quintal,Rabi
,,Hazaribagh,Mustard,5725.36,Rs/Quintal,Rabi
,,Hazaribagh,Onion,2061.2,Rs/Quintal,Rabi
,,Hazaribagh,Potato,1694.72,Rs/Quintal,Rabi
,,Hazaribagh,Rice (Paddy),1873.71,Rs/Quintal,Rabi
,,Hazaribagh,Sugarcane,296.63,Rs/Quintal,Rabi
,,Hazaribagh,Tomato,2368.89,Rs/Quintal,Rabi
,,Hazaribagh,Wheat,1962.61,Rs/Quintal,Rabi
,,Jamshedpur,Arhar (Tur),6516.22,Rs/Quintal,Rabi
,,Jamshedpur,Gram (Chana),5675.7,Rs/Quintal,Rabi
,,Jamshedpur,Maize,1741.63,Rs/Quintal,Rabi
,,Jamshedpur,Mustard,6022.73,Rs/Quintal,Rabi
,,Jamshedpur,Onion,2129.26,Rs/Quintal,Rabi
,,Jamshedpur,Potato,1790.64,Rs/Quintal,Rabi
,,Jamshedpur,Rice (Paddy),2012.97,Rs/Quintal,Rabi
,,Jamshedpur,Sugarcane,306.43,Rs/Quintal,Rabi
,,Jamshedpur,Tomato,2460.96,Rs/Quintal,Rabi
,,Jamshedpur,Wheat,2056.85,Rs/Quintal,Rabi
,,Jamtara,Arhar (Tur),6321.15,Rs/Quintal,Rabi
,,Jamtara,Gram (Chana),5466,Rs/Quintal,Rabi
,,Jamtara,Maize,1660.34,Rs/Quintal,Rabi
,,Jamtara,Mustard,5744.06,Rs/Quintal,Rabi
,,Jamtara,Onion,2084.72,Rs/Quintal,Rabi
,,Jamtara,Potato,1757.97,Rs/Quintal,Rabi
,,Jamtara,Rice (Paddy),1890.15,Rs/Quintal,Rabi
,,Jamtara,Sugarcane,294.83,Rs/Quintal,Rabi
,,Jamtara,Tomato,2342.6,Rs/Quintal,Rabi
,,Jamtara,Wheat,1964.39,Rs/Quintal,Rabi
,,Khunti,Arhar (Tur),6229.56,Rs/Quintal,Rabi
,,Khunti,Gram (Chana),5397.58,Rs/Quintal,Rabi
,,Khunti,Maize,1656.94,Rs/Quintal,Rabi
,,Khunti,Mustard,5741.48,Rs/Quintal,Rabi
,,Khunti,Onion,2043.88,Rs/Quintal,Rabi
,,Khunti,Potato,1751.55,Rs/Quintal,Rabi
,,Khunti,Rice (Paddy),1861.6,Rs/Quintal,Rabi
,,Khunti,Sugarcane,292.54,Rs/Quintal,Rabi
,,Khunti,Tomato,2369.65,Rs/Quintal,Rabi
,,Khunti,Wheat,2017.09,Rs/Quintal,Rabi
,,Koderma,Arhar (Tur),6254.91,Rs/Quintal,Rabi
,,Koderma,Gram (Chana),5482,Rs/Quintal,Rabi
,,Koderma,Maize,1647.96,Rs/Quintal,Rabi
,,Koderma,Mustard,5855.79,Rs/Quintal,Rabi
,,Koderma,Onion,2064.94,Rs/Quintal,Rabi
,,Koderma,Potato,1777.78,Rs/Quintal,Rabi
,,Koderma,Rice (Paddy),1879.27,Rs/Quintal,Rabi
,,Koderma,Sugarcane,294.29,Rs/Quintal,Rabi
,,Koderma,Tomato,2235.57,Rs/Quintal,Rabi
,,Koderma,Wheat,2003.21,Rs/Quintal,Rabi
,,Lohardaga,Arhar (Tur),6282.17,Rs/Quintal,Rabi
,,Lohardaga,Gram (Chana),5425.59,Rs/Quintal,Rabi
,,Lohardaga,Maize,1698.98,Rs/Quintal,Rabi
,,Lohardaga,Mustard,5832.04,Rs/Quintal,Rabi
,,Lohardaga,Onion,2052.81,Rs/Quintal,Rabi
,,Lohardaga,Potato,1713.45,Rs/Quintal,Rabi
,,Lohardaga,Rice (Paddy),1913.02,Rs/Quintal,Rabi
,,Lohardaga,Sugarcane,295.41,Rs/Quintal,Rabi
,,Lohardaga,Tomato,2288.85,Rs/Quintal,Rabi
,,Lohardaga,Wheat,1965.48,Rs/Quintal,Rabi
,,Pakur,Arhar (Tur),6043.36,Rs/Quintal,Rabi
,,Pakur,Gram (Chana),5211.29,Rs/Quintal,Rabi
,,Pakur,Maize,1604.05,Rs/Quintal,Rabi
,,Pakur,Mustard,5463.36,Rs/Quintal,Rabi
,,Pakur,Onion,1967.58,Rs/Quintal,Rabi
,,Pakur,Potato,1602.06,Rs/Quintal,Rabi
,,Pakur,Rice (Paddy),1795.94,Rs/Quintal,Rabi
,,Pakur,Sugarcane,280.28,Rs/Quintal,Rabi
,,Pakur,Tomato,2228.79,Rs/Quintal,Rabi
,,Pakur,Wheat,1921.79,Rs/Quintal,Rabi
,,Palamu,Arhar (Tur),6322.96,Rs/Quintal,Rabi
,,Palamu,Gram (Chana),5393.7,Rs/Quintal,Rabi
,,Palamu,Maize,1681.08,Rs/Quintal,Rabi
,,Palamu,Mustard,5798.09,Rs/Quintal,Rabi
,,Palamu,Onion,2020.95,Rs/Quintal,Rabi
,,Palamu,Potato,1733.23,Rs/Quintal,Rabi
,,Palamu,Rice (Paddy),1862.86,Rs/Quintal,Rabi
,,Palamu,Sugarcane,289.44,Rs/Quintal,Rabi
,,Palamu,Tomato,2305.22,Rs/Quintal,Rabi
,,Palamu,Wheat,1963.87,Rs/Quintal,Rabi
,,Ramgarh,Arhar (Tur),6301.82,Rs/Quintal,Rabi
,,Ramgarh,Gram (Chana),5433.29,Rs/Quintal,Rabi
,,Ramgarh,Maize,1668.74,Rs/Quintal,Rabi
,,Ramgarh,Mustard,5831.83,Rs/Quintal,Rabi
,,Ramgarh,Onion,2118.39,Rs/Quintal,Rabi
,,Ramgarh,Potato,1734.05,Rs/Quintal,Rabi
,,Ramgarh,Rice (Paddy),1905.86,Rs/Quintal,Rabi
,,Ramgarh,Sugarcane,294.84,Rs/Quintal,Rabi
,,Ramgarh,Tomato,2388.5,Rs/Quintal,Rabi
,,Ramgarh,Wheat,1964.5,Rs/Quintal,Rabi
,,Ranchi,Arhar (Tur),6696.88,Rs/Quintal,Rabi
,,Ranchi,Gram (Chana),5804.4,Rs/Quintal,Rabi
,,Ranchi,Maize,1793.07,Rs/Quintal,Rabi
,,Ranchi,Mustard,6047.21,Rs/Quintal,Rabi
,,Ranchi,Onion,2141.49,Rs/Quintal,Rabi
,,Ranchi,Potato,1857.85,Rs/Quintal,Rabi
,,Ranchi,Rice (Paddy),1989.57,Rs/Quintal,Rabi
,,Ranchi,Sugarcane,308.13,Rs/Quintal,Rabi
,,Ranchi,Tomato,2464.4,Rs/Quintal,Rabi
,,Ranchi,Wheat,2073.46,Rs/Quintal,Rabi
,,Sahebganj,Arhar (Tur),6353.39,Rs/Quintal,Rabi
,,Sahebganj,Gram (Chana),5480.35,Rs/Quintal,Rabi
,,Sahebganj,Maize,1648.18,Rs/Quintal,Rabi
,,Sahebganj,Mustard,5839.94,Rs/Quintal,Rabi
,,Sahebganj,Onion,2091.8,Rs/Quintal,Rabi
,,Sahebganj,Potato,1762.97,Rs/Quintal,Rabi
,,Sahebganj,Rice (Paddy),1869.25,Rs/Quintal,Rabi
,,Sahebganj,Sugarcane,294.62,Rs/Quintal,Rabi
,,Sahebganj,Tomato,2239.59,Rs/Quintal,Rabi
,,Sahebganj,Wheat,2022.4,Rs/Quintal,Rabi
,,Saraikela Kharsawan,Arhar (Tur),6347.32,Rs/Quintal,Rabi
,,Saraikela Kharsawan,Gram (Chana),5408.08,Rs/Quintal,Rabi
,,Saraikela Kharsawan,Maize,1656.37,Rs/Quintal,Rabi
,,Saraikela Kharsawan,Mustard,5815.12,Rs/Quintal,Rabi
,,Saraikela Kharsawan,Onion,2047.26,Rs/Quintal,Rabi
,,Saraikela Kharsawan,Potato,1734.03,Rs/Quintal,Rabi
,,Saraikela Kharsawan,Rice (Paddy),1919.35,Rs/Quintal,Rabi
,,Saraikela Kharsawan,Sugarcane,289.62,Rs/Quintal,Rabi
,,Saraikela Kharsawan,Tomato,2252.5,Rs/Quintal,Rabi
,,Saraikela Kharsawan,Wheat,2023.08,Rs/Quintal,Rabi
,,Simdega,Arhar (Tur),5890.33,Rs/Quintal,Rabi
,,Simdega,Gram (Chana),5266.12,Rs/Quintal,Rabi
,,Simdega,Maize,1627.25,Rs/Quintal,Rabi
,,Simdega,Mustard,5442.32,Rs/Quintal,Rabi
,,Simdega,Onion,1999.71,Rs/Quintal,Rabi
,,Simdega,Potato,1679.79,Rs/Quintal,Rabi
,,Simdega,Rice (Paddy),1816.25,Rs/Quintal,Rabi
,,Simdega,Sugarcane,279.58,Rs/Quintal,Rabi
,,Simdega,Tomato,2160.4,Rs/Quintal,Rabi
,,Simdega,Wheat,1877.07,Rs/Quintal,Rabi
,,West Singhbhum,Arhar (Tur),6269.76,Rs/Quintal,Rabi
,,West Singhbhum,Gram (Chana),5399.5,Rs/Quintal,Rabi
,,West Singhbhum,Maize,1665.23,Rs/Quintal,Rabi
,,West Singhbhum,Mustard,5852.94,Rs/Quintal,Rabi
,,West Singhbhum,Onion,2049.77,Rs/Quintal,Rabi
,,West Singhbhum,Potato,1764.34,Rs/Quintal,Rabi
,,West Singhbhum,Rice (Paddy),1901.6,Rs/Quintal,Rabi
,,West Singhbhum,Sugarcane,294.87,Rs/Quintal,Rabi
,,West Singhbhum,Tomato,2276.02,Rs/Quintal,Rabi
,,West Singhbhum,Wheat,1999.65,Rs/Quintal,Rabi
,,Bokaro,Arhar (Tur),6042.36,Rs/Quintal,Kharif
,,Bokaro,Gram (Chana),5117.98,Rs/Quintal,Kharif
,,Bokaro,Maize,1607.39,Rs/Quintal,Kharif
,,Bokaro,Mustard,5398.92,Rs/Quintal,Kharif
,,Bokaro,Onion,2238.08,Rs/Quintal,Kharif
,,Bokaro,Potato,1533.22,Rs/Quintal,Kharif
,,Bokaro,Rice (Paddy),1798.17,Rs/Quintal,Kharif
,,Bokaro,Sugarcane,276.04,Rs/Quintal,Kharif
,,Bokaro,Tomato,2440.45,Rs/Quintal,Kharif
,,Bokaro,Wheat,1870.43,Rs/Quintal,Kharif
,,Chatra,Arhar (Tur),6055.57,Rs/Quintal,Kharif
,,Chatra,Gram (Chana),5121.05,Rs/Quintal,Kharif
,,Chatra,Maize,1580.99,Rs/Quintal,Kharif
,,Chatra,Mustard,5421.25,Rs/Quintal,Kharif
,,Chatra,Onion,2303.24,Rs/Quintal,Kharif
,,Chatra,Potato,1480.99,Rs/Quintal,Kharif
,,Chatra,Rice (Paddy),1809.64,Rs/Quintal,Kharif
,,Chatra,Sugarcane,277.99,Rs/Quintal,Kharif
,,Chatra,Tomato,2576.22,Rs/Quintal,Kharif
,,Chatra,Wheat,1876.19,Rs/Quintal,Kharif
,,Deoghar,Arhar (Tur),5953.9,Rs/Quintal,Kharif
,,Deoghar,Gram (Chana),5136.11,Rs/Quintal,Kharif
,,Deoghar,Maize,1629.07,Rs/Quintal,Kharif
,,Deoghar,Mustard,5495.4,Rs/Quintal,Kharif
,,Deoghar,Onion,2315.39,Rs/Quintal,Kharif
,,Deoghar,Potato,1451.79,Rs/Quintal,Kharif
,,Deoghar,Rice (Paddy),1770.67,Rs/Quintal,Kharif
,,Deoghar,Sugarcane,279.33,Rs/Quintal,Kharif
,,Deoghar,Tomato,2491.63,Rs/Quintal,Kharif
,,Deoghar,Wheat,1897.31,Rs/Quintal,Kharif
,,Dhanbad,Arhar (Tur),6377.06,Rs/Quintal,Kharif
,,Dhanbad,Gram (Chana),5476.13,Rs/Quintal,Kharif
,,Dhanbad,Maize,1695.63,Rs/Quintal,Kharif
,,Dhanbad,Mustard,5796.88,Rs/Quintal,Kharif
,,Dhanbad,Onion,2385.07,Rs/Quintal,Kharif
,,Dhanbad,Potato,1529.14,Rs/Quintal,Kharif
,,Dhanbad,Rice (Paddy),1900.01,Rs/Quintal,Kharif
,,Dhanbad,Sugarcane,295.47,Rs/Quintal,Kharif
,,Dhanbad,Tomato,2667.29,Rs/Quintal,Kharif
,,Dhanbad,Wheat,1958.74,Rs/Quintal,Kharif
,,Dumka,Arhar (Tur),5587.3,Rs/Quintal,Kharif
,,Dumka,Gram (Chana),4960.24,Rs/Quintal,Kharif
,,Dumka,Maize,1495.99,Rs/Quintal,Kharif
,,Dumka,Mustard,5180.4,Rs/Quintal,Kharif
,,Dumka,Onion,2179.74,Rs/Quintal,Kharif
,,Dumka,Potato,1378.65,Rs/Quintal,Kharif
,,Dumka,Rice (Paddy),1716.43,Rs/Quintal,Kharif
,,Dumka,Sugarcane,269.53,Rs/Quintal,Kharif
,,Dumka,Tomato,2461.39,Rs/Quintal,Kharif
,,Dumka,Wheat,1792.11,Rs/Quintal,Kharif
,,East Singhbhum,Arhar (Tur),5924.89,Rs/Quintal,Kharif
,,East Singhbhum,Gram (Chana),5252.27,Rs/Quintal,Kharif
,,East Singhbhum,Maize,1589.48,Rs/Quintal,Kharif
,,East Singhbhum,Mustard,5562.94,Rs/Quintal,Kharif
,,East Singhbhum,Onion,2255.64,Rs/Quintal,Kharif
,,East Singhbhum,Potato,1518.56,Rs/Quintal,Kharif
,,East Singhbhum,Rice (Paddy),1768.65,Rs/Quintal,Kharif
,,East Singhbhum,Sugarcane,275.37,Rs/Quintal,Kharif
,,East Singhbhum,Tomato,2581.16,Rs/Quintal,Kharif
,,East Singhbhum,Wheat,1916.91,Rs/Quintal,Kharif
,,Garhwa,Arhar (Tur),5988.08,Rs/Quintal,Kharif
,,Garhwa,Gram (Chana),5227.53,Rs/Quintal,Kharif
,,Garhwa,Maize,1564.07,Rs/Quintal,Kharif
,,Garhwa,Mustard,5489.72,Rs/Quintal,Kharif
,,Garhwa,Onion,2324.85,Rs/Quintal,Kharif
,,Garhwa,Potato,1532.83,Rs/Quintal,Kharif
,,Garhwa,Rice (Paddy),1793.38,Rs/Quintal,Kharif
,,Garhwa,Sugarcane,280.32,Rs/Quintal,Kharif
,,Garhwa,Tomato,2582.32,Rs/Quintal,Kharif
,,Garhwa,Wheat,1860.3,Rs/Quintal,Kharif
,,Giridih,Arhar (Tur),6030.48,Rs/Quintal,Kharif
,,Giridih,Gram (Chana),5130.43,Rs/Quintal,Kharif
,,Giridih,Maize,1568.98,Rs/Quintal,Kharif
,,Giridih,Mustard,5509.15,Rs/Quintal,Kharif
,,Giridih,Onion,2275.74,Rs/Quintal,Kharif
,,Giridih,Potato,1511.8,Rs/Quintal,Kharif
,,Giridih,Rice (Paddy),1800.83,Rs/Quintal,Kharif
,,Giridih,Sugarcane,277.33,Rs/Quintal,Kharif
,,Giridih,Tomato,2560.71,Rs/Quintal,Kharif
,,Giridih,Wheat,1882.41,Rs/Quintal,Kharif
,,Godda,Arhar (Tur),5987.94,Rs/Quintal,Kharif
,,Godda,Gram (Chana),5258.24,Rs/Quintal,Kharif
,,Godda,Maize,1601.44,Rs/Quintal,Kharif
,,Godda,Mustard,5462.12,Rs/Quintal,Kharif
,,Godda,Onion,2259.71,Rs/Quintal,Kharif
,,Godda,Potato,1481.54,Rs/Quintal,Kharif
,,Godda,Rice (Paddy),1771.31,Rs/Quintal,Kharif
,,Godda,Sugarcane,279.83,Rs/Quintal,Kharif
,,Godda,Tomato,2544.68,Rs/Quintal,Kharif
,,Godda,Wheat,1875.11,Rs/Quintal,Kharif
,,Gumla,Arhar (Tur),5963.39,Rs/Quintal,Kharif
,,Gumla,Gram (Chana),5167.27,Rs/Quintal,Kharif
,,Gumla,Maize,1570.9,Rs/Quintal,Kharif
,,Gumla,Mustard,5437.03,Rs/Quintal,Kharif
,,Gumla,Onion,2229.63,Rs/Quintal,Kharif
,,Gumla,Potato,1529.15,Rs/Quintal,Kharif
,,Gumla,Rice (Paddy),1806.2,Rs/Quintal,Kharif
,,Gumla,Sugarcane,275.31,Rs/Quintal,Kharif
,,Gumla,Tomato,2543.36,Rs/Quintal,Kharif
,,Gumla,Wheat,1927.76,Rs/Quintal,Kharif
,,Hazaribagh,Arhar (Tur),5904.31,Rs/Quintal,Kharif
,,Hazaribagh,Gram (Chana),5200.83,Rs/Quintal,Kharif
,,Hazaribagh,Maize,1625.61,Rs/Quintal,Kharif
,,Hazaribagh,Mustard,5415.73,Rs/Quintal,Kharif
,,Hazaribagh,Onion,2277.35,Rs/Quintal,Kharif
,,Hazaribagh,Potato,1481.61,Rs/Quintal,Kharif
,,Hazaribagh,Rice (Paddy),1785.84,Rs/Quintal,Kharif
,,Hazaribagh,Sugarcane,280.04,Rs/Quintal,Kharif
,,Hazaribagh,Tomato,2555.37,Rs/Quintal,Kharif
,,Hazaribagh,Wheat,1889.39,Rs/Quintal,Kharif
,,Jamshedpur,Arhar (Tur),6358.22,Rs/Quintal,Kharif
,,Jamshedpur,Gram (Chana),5467.66,Rs/Quintal,Kharif
,,Jamshedpur,Maize,1689.99,Rs/Quintal,Kharif
,,Jamshedpur,Mustard,5789.71,Rs/Quintal,Kharif
,,Jamshedpur,Onion,2340.29,Rs/Quintal,Kharif
,,Jamshedpur,Potato,1563.05,Rs/Quintal,Kharif
,,Jamshedpur,Rice (Paddy),1904.38,Rs/Quintal,Kharif
,,Jamshedpur,Sugarcane,295.81,Rs/Quintal,Kharif
,,Jamshedpur,Tomato,2690.29,Rs/Quintal,Kharif
,,Jamshedpur,Wheat,2024.34,Rs/Quintal,Kharif
,,Jamtara,Arhar (Tur),5968.17,Rs/Quintal,Kharif
,,Jamtara,Gram (Chana),5213.26,Rs/Quintal,Kharif
,,Jamtara,Maize,1570.35,Rs/Quintal,Kharif
,,Jamtara,Mustard,5489.91,Rs/Quintal,Kharif
,,Jamtara,Onion,2268.66,Rs/Quintal,Kharif
,,Jamtara,Potato,1533.56,Rs/Quintal,Kharif
,,Jamtara,Rice (Paddy),1819.21,Rs/Quintal,Kharif
,,Jamtara,Sugarcane,275.21,Rs/Quintal,Kharif
,,Jamtara,Tomato,2452.5,Rs/Quintal,Kharif
,,Jamtara,Wheat,1928.54,Rs/Quintal,Kharif
,,Khunti,Arhar (Tur),6021.15,Rs/Quintal,Kharif
,,Khunti,Gram (Chana),5110.03,Rs/Quintal,Kharif
,,Khunti,Maize,1605.03,Rs/Quintal,Kharif
,,Khunti,Mustard,5427.42,Rs/Quintal,Kharif
,,Khunti,Onion,2247.01,Rs/Quintal,Kharif
,,Khunti,Potato,1487.29,Rs/Quintal,Kharif
,,Khunti,Rice (Paddy),1793.98,Rs/Quintal,Kharif
,,Khunti,Sugarcane,282.02,Rs/Quintal,Kharif
,,Khunti,Tomato,2557.73,Rs/Quintal,Kharif
,,Khunti,Wheat,1901.46,Rs/Quintal,Kharif
,,Koderma,Arhar (Tur),6081.01,Rs/Quintal,Kharif
,,Koderma,Gram (Chana),5165.13,Rs/Quintal,Kharif
,,Koderma,Maize,1621.9,Rs/Quintal,Kharif
,,Koderma,Mustard,5463.21,Rs/Quintal,Kharif
,,Koderma,Onion,2276.07,Rs/Quintal,Kharif
,,Koderma,Potato,1460.53,Rs/Quintal,Kharif
,,Koderma,Rice (Paddy),1770.3,Rs/Quintal,Kharif
,,Koderma,Sugarcane,278.28,Rs/Quintal,Kharif
,,Koderma,Tomato,2450.76,Rs/Quintal,Kharif
,,Koderma,Wheat,1889.34,Rs/Quintal,Kharif
,,Lohardaga,Arhar (Tur),6020.27,Rs/Quintal,Kharif
,,Lohardaga,Gram (Chana),5226.77,Rs/Quintal,Kharif
,,Lohardaga,Maize,1617.63,Rs/Quintal,Kharif
,,Lohardaga,Mustard,5540.48,Rs/Quintal,Kharif
,,Lohardaga,Onion,2253.82,Rs/Quintal,Kharif
,,Lohardaga,Potato,1527.11,Rs/Quintal,Kharif
,,Lohardaga,Rice (Paddy),1767.76,Rs/Quintal,Kharif
,,Lohardaga,Sugarcane,283.04,Rs/Quintal,Kharif
,,Lohardaga,Tomato,2591.54,Rs/Quintal,Kharif
,,Lohardaga,Wheat,1885.39,Rs/Quintal,Kharif
,,Pakur,Arhar (Tur),5764.93,Rs/Quintal,Kharif
,,Pakur,Gram (Chana),4899.09,Rs/Quintal,Kharif
,,Pakur,Maize,1516.69,Rs/Quintal,Kharif
,,Pakur,Mustard,5172.86,Rs/Quintal,Kharif
,,Pakur,Onion,2147.33,Rs/Quintal,Kharif
,,Pakur,Potato,1381.79,Rs/Quintal,Kharif
,,Pakur,Rice (Paddy),1694.35,Rs/Quintal,Kharif
,,Pakur,Sugarcane,268.23,Rs/Quintal,Kharif
,,Pakur,Tomato,2394.73,Rs/Quintal,Kharif
,,Pakur,Wheat,1766.63,Rs/Quintal,Kharif
,,Palamu,Arhar (Tur),5933.11,Rs/Quintal,Kharif
,,Palamu,Gram (Chana),5262.94,Rs/Quintal,Kharif
,,Palamu,Maize,1577.94,Rs/Quintal,Kharif
,,Palamu,Mustard,5535.12,Rs/Quintal,Kharif
,,Palamu,Onion,2302.62,Rs/Quintal,Kharif
,,Palamu,Potato,1545.08,Rs/Quintal,Kharif
,,Palamu,Rice (Paddy),1790.69,Rs/Quintal,Kharif
,,Palamu,Sugarcane,279.76,Rs/Quintal,Kharif
,,Palamu,Tomato,2541.71,Rs/Quintal,Kharif
,,Palamu,Wheat,1927.66,Rs/Quintal,Kharif
,,Ramgarh,Arhar (Tur),5985.02,Rs/Quintal,Kharif
,,Ramgarh,Gram (Chana),5182.8,Rs/Quintal,Kharif
,,Ramgarh,Maize,1626.73,Rs/Quintal,Kharif
,,Ramgarh,Mustard,5462.55,Rs/Quintal,Kharif
,,Ramgarh,Onion,2271.88,Rs/Quintal,Kharif
,,Ramgarh,Potato,1479.05,Rs/Quintal,Kharif
,,Ramgarh,Rice (Paddy),1782.28,Rs/Quintal,Kharif
,,Ramgarh,Sugarcane,282.27,Rs/Quintal,Kharif
,,Ramgarh,Tomato,2558.29,Rs/Quintal,Kharif
,,Ramgarh,Wheat,1933.26,Rs/Quintal,Kharif
,,Ranchi,Arhar (Tur),6244.69,Rs/Quintal,Kharif
,,Ranchi,Gram (Chana),5415.05,Rs/Quintal,Kharif
,,Ranchi,Maize,1656.3,Rs/Quintal,Kharif
,,Ranchi,Mustard,5841.84,Rs/Quintal,Kharif
,,Ranchi,Onion,2371.19,Rs/Quintal,Kharif
,,Ranchi,Potato,1534.63,Rs/Quintal,Kharif
,,Ranchi,Rice (Paddy),1904.62,Rs/Quintal,Kharif
,,Ranchi,Sugarcane,297.77,Rs/Quintal,Kharif
,,Ranchi,Tomato,2717.36,Rs/Quintal,Kharif
,,Ranchi,Wheat,1952.01,Rs/Quintal,Kharif
,,Sahebganj,Arhar (Tur),5968.32,Rs/Quintal,Kharif
,,Sahebganj,Gram (Chana),5153.35,Rs/Quintal,Kharif
,,Sahebganj,Maize,1605.9,Rs/Quintal,Kharif
,,Sahebganj,Mustard,5571.82,Rs/Quintal,Kharif
,,Sahebganj,Onion,2245.51,Rs/Quintal,Kharif
,,Sahebganj,Potato,1514.75,Rs/Quintal,Kharif
,,Sahebganj,Rice (Paddy),1805.02,Rs/Quintal,Kharif
,,Sahebganj,Sugarcane,277.49,Rs/Quintal,Kharif
,,Sahebganj,Tomato,2510.34,Rs/Quintal,Kharif
,,Sahebganj,Wheat,1900.34,Rs/Quintal,Kharif
,,Saraikela Kharsawan,Arhar (Tur),6043.15,Rs/Quintal,Kharif
,,Saraikela Kharsawan,Gram (Chana),5243.98,Rs/Quintal,Kharif
,,Saraikela Kharsawan,Maize,1593.12,Rs/Quintal,Kharif
,,Saraikela Kharsawan,Mustard,5398.31,Rs/Quintal,Kharif
